District,crop_name,crop_type,Area,Production
ARWAL,Watermelon,fruits,0,600
AURANGABAD,Watermelon,fruits,0,300
BANKA,Watermelon,fruits,-,-
BEGUSARAI,Watermelon,fruits,0,900
BHAGALPUR,Watermelon,fruits,100,1400
BHOJPUR,Watermelon,fruits,100,1800
BUXAR,Watermelon,fruits,0,1000
DARBHANGA,Watermelon,fruits,0,500
GAYA,Watermelon,fruits,-,-
GOPALGANJ,Watermelon,fruits,0,800
JAMUI,Watermelon,fruits,0,100
JEHANABAD,Watermelon,fruits,0,800
KAIMUR (BHABUA),Watermelon,fruits,0,100
KATIHAR,Watermelon,fruits,0,900
KHAGARIA,Watermelon,fruits,0,800
KISHANGANJ,Watermelon,fruits,-,-
LAKHISARAI,Watermelon,fruits,0,900
MADHEPURA,Watermelon,fruits,0,500
MADHUBANI,Watermelon,fruits,0,200
MUNGER,Watermelon,fruits,100,2400
MUZAFFARPUR,Watermelon,fruits,100,1100
NALANDA,Watermelon,fruits,0,500
NAWADA,Watermelon,fruits,0,400
PASHCHIM CHAMPARAN,Watermelon,fruits,0,900
PATNA,Watermelon,fruits,0,2300
PURBI CHAMPARAN,Watermelon,fruits,0,700
PURNIA,Watermelon,fruits,0,800
ROHTAS,Watermelon,fruits,0,400
SAHARSA,Watermelon,fruits,0,600
SAMASTIPUR,Watermelon,fruits,0,900
SARAN,Watermelon,fruits,100,2000
SHEIKHPURA,Watermelon,fruits,-,-
SHEOHAR,Watermelon,fruits,300,500
SITAMARHI,Watermelon,fruits,0,600
SIWAN,Watermelon,fruits,500,1100
SUPAUL,Watermelon,fruits,0,300
VAISHALI,Watermelon,fruits,100,2600
ARARIA,Other Citrus,fruits,500,5000.0
ARWAL,Other Citrus,fruits,300,3200.0
AURANGABAD,Other Citrus,fruits,900,8800.0
BANKA,Other Citrus,fruits,700,6500.0
BEGUSARAI,Other Citrus,fruits,1100.9,10701.45
BHAGALPUR,Other Citrus,fruits,1100,10600.0
BHOJPUR,Other Citrus,fruits,1000,9900.0
BUXAR,Other Citrus,fruits,500,5500.0
DARBHANGA,Other Citrus,fruits,1303,12528.85
GAYA,Other Citrus,fruits,1000,10000.0
GOPALGANJ,Other Citrus,fruits,1000,9700.0
JAMUI,Other Citrus,fruits,500,4700.0
JEHANABAD,Other Citrus,fruits,503,4728.2
KAIMUR (BHABUA),Other Citrus,fruits,500,4700.0
KATIHAR,Other Citrus,fruits,1101,11110.09
KHAGARIA,Other Citrus,fruits,700,6700.0
KISHANGANJ,Other Citrus,fruits,800,8200.0
LAKHISARAI,Other Citrus,fruits,204,1928.36
MADHEPURA,Other Citrus,fruits,800,7600.0
MADHUBANI,Other Citrus,fruits,1200,12300.0
MUNGER,Other Citrus,fruits,400,4200.0
MUZAFFARPUR,Other Citrus,fruits,1300,12500.0
NALANDA,Other Citrus,fruits,1200,12700.0
NAWADA,Other Citrus,fruits,900,8700.0
PASHCHIM CHAMPARAN,Other Citrus,fruits,1200,13000.0
PATNA,Other Citrus,fruits,1500,1500.0
PURBI CHAMPARAN,Other Citrus,fruits,1200,11900.0
PURNIA,Other Citrus,fruits,900,9300.0
ROHTAS,Other Citrus,fruits,600,6200.0
SAHARSA,Other Citrus,fruits,900,9100.0
SAMASTIPUR,Other Citrus,fruits,1100,11400.0
SARAN,Other Citrus,fruits,1300,12800.0
SHEIKHPURA,Other Citrus,fruits,200,2200.0
SHEOHAR,Other Citrus,fruits,500,4700.0
SITAMARHI,Other Citrus,fruits,700,7300.0
SIWAN,Other Citrus,fruits,1300,12800.0
SUPAUL,Other Citrus,fruits,400,4100.0
VAISHALI,Other Citrus,fruits,1100,12200.0
ARARIA,Beans(All Including,vegetables,190,1425
ARWAL,Beans(All Including,vegetables,200,1200
AURANGABAD,Beans(All Including,vegetables,200,1500
BANKA,Beans(All Including,vegetables,210,1470
BEGUSARAI,Beans(All Including,vegetables,403,3022.5
